checkpoint,t_start,guidance_scale,auroc,auprc,f1_score,accuracy,sensitivity,specificity,precision,optimal_threshold
step_120000.pt,300,7.5,0.7053827160493827,0.8259999906385895,0.7622222222222222,0.682962962962963,0.7622222222222222,0.5244444444444445,0.7622222222222222,0.2098370641469955
step_140000.pt,300,3.0,0.7038222222222221,0.826138116963359,0.7660044150110376,0.6859259259259259,0.7711111111111111,0.5155555555555555,0.7609649122807017,0.2040372043848037
step_90000.pt,50,7.5,0.7021827160493828,0.8222028103853883,0.6321525885558583,0.6,0.5155555555555555,0.7688888888888888,0.8169014084507042,0.17199468612670898
step_140000.pt,300,5.0,0.7020345679012346,0.8261812659868035,0.7641196013289037,0.6844444444444444,0.7666666666666667,0.52,0.7615894039735099,0.2061757445335388
step_80000.pt,50,7.5,0.701520987654321,0.8217367359259189,0.6340136054421769,0.6014814814814815,0.5177777777777778,0.7688888888888888,0.8175438596491228,0.17174968123435974
step_70000.pt,50,3.0,0.7013432098765433,0.8216175790350198,0.6255144032921811,0.5955555555555555,0.5066666666666667,0.7733333333333333,0.8172043010752689,0.17357635498046875
step_80000.pt,50,3.0,0.7012839506172839,0.8215354294056065,0.6311475409836066,0.6,0.5133333333333333,0.7733333333333333,0.8191489361702128,0.17263105511665344
step_80000.pt,50,5.0,0.7012444444444444,0.8213528247310988,0.6292749658002736,0.5985185185185186,0.5111111111111111,0.7733333333333333,0.8185053380782918,0.1732279509305954
step_90000.pt,50,3.0,0.7012444444444444,0.8214965777740874,0.6340136054421769,0.6014814814814815,0.5177777777777778,0.7688888888888888,0.8175438596491228,0.1721111387014389
step_130000.pt,300,3.0,0.7012444444444444,0.8239078828056959,0.7262044653349001,0.6548148148148148,0.6866666666666666,0.5911111111111111,0.770573566084788,0.2251172661781311
step_60000.pt,50,5.0,0.7012148148148147,0.821467200485726,0.6292749658002736,0.5985185185185186,0.5111111111111111,0.7733333333333333,0.8185053380782918,0.17337490618228912
step_90000.pt,50,5.0,0.7011950617283951,0.8213686569233254,0.6011396011396012,0.5851851851851851,0.4688888888888889,0.8177777777777778,0.8373015873015873,0.18457594513893127
step_60000.pt,50,3.0,0.7010765432098766,0.8213840935483769,0.6321525885558583,0.6,0.5155555555555555,0.7688888888888888,0.8169014084507042,0.17234814167022705
step_70000.pt,50,5.0,0.7010666666666667,0.8212012710028018,0.6340136054421769,0.6014814814814815,0.5177777777777778,0.7688888888888888,0.8175438596491228,0.17134642601013184
step_60000.pt,50,7.5,0.7007604938271603,0.8211038724490082,0.6321525885558583,0.6,0.5155555555555555,0.7688888888888888,0.8169014084507042,0.17258459329605103
step_70000.pt,50,7.5,0.7007407407407407,0.8211393092828413,0.6340136054421769,0.6014814814814815,0.5177777777777778,0.7688888888888888,0.8175438596491228,0.17217913269996643
step_50000.pt,50,5.0,0.700395061728395,0.8208753497629554,0.6331521739130435,0.6,0.5177777777777778,0.7644444444444445,0.8146853146853147,0.17144478857517242
step_50000.pt,50,3.0,0.7003950617283949,0.8208174247124563,0.6302864938608458,0.5985185185185186,0.5133333333333333,0.7688888888888888,0.8162544169611308,0.17147105932235718
step_50000.pt,50,7.5,0.700325925925926,0.8210704654790272,0.6321525885558583,0.6,0.5155555555555555,0.7688888888888888,0.8169014084507042,0.1712043285369873
step_130000.pt,300,5.0,0.6988049382716048,0.8228834590342989,0.7095990279465371,0.6459259259259259,0.6488888888888888,0.64,0.7828418230563002,0.2337063997983932
step_130000.pt,300,7.5,0.6966617283950618,0.8225253799372109,0.7106842737094838,0.642962962962963,0.6577777777777778,0.6133333333333333,0.7728459530026109,0.2314346879720688
step_130000.pt,400,3.0,0.6682370370370371,0.8082148331287957,0.735658042744657,0.6518518518518519,0.7266666666666667,0.5022222222222222,0.744874715261959,0.2316691279411316
step_130000.pt,400,5.0,0.6664197530864198,0.8080635436278011,0.492063492063492,0.5259259259259259,0.3444444444444444,0.8888888888888888,0.8611111111111112,0.3731644749641418
step_140000.pt,400,3.0,0.6653135802469137,0.8091807100478121,0.6068027210884354,0.5718518518518518,0.4955555555555556,0.7244444444444444,0.7824561403508772,0.3088864684104919
step_140000.pt,400,5.0,0.6627259259259259,0.8077675844125927,0.5811965811965812,0.5644444444444444,0.4533333333333333,0.7866666666666666,0.8095238095238095,0.3225659728050232
step_120000.pt,400,5.0,0.6604246913580247,0.8054061007094735,0.5070422535211268,0.5333333333333333,0.36,0.88,0.8571428571428571,0.374169111251831
step_130000.pt,400,7.5,0.6598123456790124,0.8043678239648024,0.4815409309791332,0.5214814814814814,0.3333333333333333,0.8977777777777778,0.8670520231213873,0.3826608061790466
step_110000.pt,400,3.0,0.6593679012345679,0.8047129638049739,0.4807692307692308,0.52,0.3333333333333333,0.8933333333333333,0.8620689655172413,0.3687695860862732
step_120000.pt,400,7.5,0.6592395061728396,0.8056466833405194,0.5377643504531722,0.5466666666666666,0.3955555555555555,0.8488888888888889,0.839622641509434,0.3695789277553558
step_100000.pt,400,5.0,0.6592197530864198,0.8040834674533522,0.55,0.5466666666666666,0.4155555555555555,0.8088888888888889,0.8130434782608695,0.3399347960948944
step_120000.pt,400,3.0,0.6582024691358025,0.8058483188861346,0.4798711755233494,0.5214814814814814,0.3311111111111111,0.9022222222222224,0.8713450292397661,0.381411463022232
step_140000.pt,400,7.5,0.6579456790123457,0.8066376576290767,0.4612850082372323,0.5155555555555555,0.3111111111111111,0.9244444444444444,0.89171974522293,0.3898455500602722
step_110000.pt,400,7.5,0.6546864197530864,0.8032681800985404,0.4936305732484076,0.5288888888888889,0.3444444444444444,0.8977777777777778,0.8707865168539326,0.3701517581939697
step_110000.pt,400,5.0,0.6529283950617284,0.8013392721887234,0.4774193548387097,0.52,0.3288888888888889,0.9022222222222224,0.8705882352941177,0.3733016550540924
step_100000.pt,400,3.0,0.6512296296296296,0.8001833506822817,0.5213414634146342,0.5348148148148149,0.38,0.8444444444444444,0.8300970873786407,0.3541699647903442
step_100000.pt,400,7.5,0.6492839506172841,0.8001035377250849,0.5386904761904762,0.5407407407407407,0.4022222222222222,0.8177777777777778,0.8153153153153153,0.3539299368858337
